metric,n_tps,n_gds,mean_tps,mean_gds,mean_diff_tps_minus_gds,cohens_d,welch_t_stat,welch_p,mannwhitney_u,mannwhitney_p,bootstrap_mean_diff_ci_lower,bootstrap_mean_diff_ci_upper,bootstrap_n
sentiment_divergence,86,456,0.371,0.2872,0.0837,0.3293,2.6438,0.009415,23077.0,0.009221,0.0229,0.1464,2000
author_mean_sentiment,86,456,0.0091,0.1911,-0.182,-0.5029,-4.2273,4.7e-05,14063.0,2.5e-05,-0.2636,-0.0978,2000
community_mean_sentiment,86,456,0.1683,0.194,-0.0257,-0.1181,-0.9747,0.331788,18251.0,0.308531,-0.0784,0.0263,2000
author_trend,86,456,0.0433,0.0026,0.0406,0.1376,1.0992,0.274128,21194.5,0.155335,-0.0277,0.1125,2000
community_trend,86,456,-0.0945,-0.0309,-0.0636,-0.2221,-1.7485,0.083285,16644.5,0.026128,-0.1424,0.0068,2000
author_volatility,86,456,0.1694,0.1536,0.0159,0.0536,0.4431,0.658527,19817.5,0.851723,-0.0517,0.0854,2000
community_volatility,86,456,0.4753,0.482,-0.0068,-0.0284,-0.2332,0.816012,19242.0,0.783795,-0.0635,0.0535,2000
author_early_late_shift,86,456,0.0031,-0.0084,0.0115,0.0939,0.7997,0.425444,19572.0,0.961263,-0.0143,0.0433,2000
community_early_late_shift,86,456,-0.0134,-0.0201,0.0067,0.0287,0.2419,0.809307,19895.5,0.828545,-0.0487,0.0623,2000
